OrgNo;FirmaNavn;Status;AntallAnsatte;OrganisasjonsformKode;Naeringskode
937967438;Karlsens Billakkering AS;Aktiv;10;AS;45.200
998900077;PowerOffice Software AS;Slettet;;AS;
980386465;PowerOffice AS;Aktiv;92;AS;58.290
835000702;A.Markussen AS;Aktiv;43;AS;81.300
912444465;Bodø Gårdeierforening;Aktiv;;FLI;94.110
989158910;Tsi Holding AS - Gammel;Aktiv;;AS;68.100
985818088;Byggsikkerhet AS;Aktiv;;AS;71.129
811987972;SØRESTRANDA EIENDOM AS;Aktiv;;AS;68.100
991758984;K Hansen Optik AS;Aktiv;13;AS;47.782
884586372;Hi-Fi Klubben- Audiovisuell Distribusjon Bodø AS;Aktiv;;AS;47.430
813452642;Fotograf Mats Jensaas AS;Aktiv;5;AS;74.200
965583262;Caranord AS;Aktiv;6;AS;45.192
997104315;Nordlysbuen Apartments AS;Aktiv;;AS;68.209
992509503;Nordlysbuen Pensjonat AS;Aktiv;;AS;55.101
914861594;Muna AS;Konkurs;;AS;69.201
913267494;Of Course AS;Aktiv;;AS;70.220
988690341;Acustus Holding AS;Aktiv;;AS;70.220
985611475;Acustus Haller AS;Aktiv;;AS;46.900
981205219;Acustus Maskinering og Hydraulikk AS;Aktiv;6;AS;28.290
964854173;Acustus Sveis AS;Aktiv;25;AS;25.620
914007666;SKOHJØRNET AS;Aktiv;6;AS;47.721
981682599;Bovel Eiendom AS;Slettet;;AS;
950485922;Økoråd Narvik AS;Aktiv;16;AS;69.201
913013670;Trusted Advisors AS;Aktiv;;AS;70.220
989452428;Kongensgate 14 - 18 AS;Aktiv;;AS;70.220
991559035;Aktiv Sanering AS;Aktiv;;AS;81.101
123456780;Demoklient Økonor;Feil;;;
995108577;Ne Utleie AS;Aktiv;;AS;55.201
912040127;Kjøkken og Design AS;Aktiv;;AS;47.599
950533676;Økoråd Evenskjer AS;Aktiv;10;AS;69.201
886520972;Regnskapskontoret Biz AS;Slettet;;AS;
914246970;MODE Studio AS;Aktiv;11;AS;96.020
957618316;Steen & Jensen AS;Aktiv;14;AS;69.201
989111647;ECIT Veiby Akonto AS;Aktiv;45;AS;69.201
989241079;VEIBY INVEST AS;Aktiv;;AS;68.209
981319656;Element Arkitekter AS;Aktiv;15;AS;71.112
935085438;Edgeing Holding AS;Aktiv;;AS;00.000
985554595;D Mathisen Entreprenør AS;Aktiv;;AS;41.200
985836949;Merkur Regnskap SA;Aktiv;24;SA;69.201
913304225;Næring i Nord AS;Aktiv;13;AS;73.110
967733938;Narvik TV Rørinspeksjon AS;Aktiv;;AS;43.221
944886923;Skien Regnskapskontor AS;Aktiv;7;AS;69.201
994185152;Barnehagen Victoriahavn AS;Aktiv;24;AS;88.911
999274242;Handelskompaniet Salg & Service AS;Aktiv;;AS;32.990
974281163;KURPPA HOSK AS;Aktiv;23;AS;73.110
938768188;Bodø Røde Kors;Aktiv;;FLI;88.995
971229314;Nordmaling og Belegg AS;Aktiv;10;AS;43.341
998088054;Miljø Rent Nord AS;Aktiv;52;AS;81.210
997071387;Holmen Bilservice AS;Aktiv;6;AS;45.200
914269040;Veiendom AS;Aktiv;;AS;68.209
914943809;Solan Transport AS;Slettet;;AS;
940692490;Urmakermester Nils K Westrheim;Aktiv;;ENK;93.291
998071704;Global Consult AS;Aktiv;;AS;70.220
988731072;AK-Regnskap AS;Aktiv;6;AS;69.201
994791435;NARVIK EIENDOM AS;Aktiv;;AS;68.209
912585301;Moloveien 12 AS;Aktiv;;AS;68.320
914213924;Lindahl AS;Aktiv;6;AS;47.523
923888985;Din Rørlegger Narvik AS;Aktiv;13;AS;43.221
814324982;TORVET AS;Aktiv;;AS;68.209
958276648;Malmen Pub AS;Aktiv;17;AS;56.301
914443873;Frydenlund Utleie AS;Aktiv;;AS;68.209
988450073;Ole Sørskår AS;Aktiv;;AS;70.220
975855635;Åfjord Regnskap AS;Aktiv;29;AS;69.201
987368675;Fosen-Hytta AS;Slettet;;AS;
997125835;Leksvik Industrimekanikk AS;Aktiv;15;AS;33.120
871231362;Økonomihuset Fauske AS;Aktiv;9;AS;69.201
911900785;Narvik Blikk Chr Føre A/S;Aktiv;11;AS;43.911
998635047;Victoria Helse AS;Aktiv;;AS;68.209
932325101;Markussens Begravelsesbyrå AS;Aktiv;11;AS;96.030
998635063;Skistua Bolig AS;Aktiv;;AS;41.109
914469678;Schjønhaug AS;Aktiv;;AS;74.101
851987142;SpareBank 1 Regnskapshuset Nord-Norge AS avd Fauske;Aktiv;305;AS;69.201
938367078;SR-Rekneskap AS;Slettet;;AS;
912167429;Reidun Gulbrandsen Regnskapskontor AS;Aktiv;;AS;69.201
986388346;Ljungmann AS;Aktiv;7;AS;25.620
922809917;Helle Nygaard Regnskapskontor AS;Aktiv;;AS;69.201
914087457;Lunde Bygg AS;Aktiv;9;AS;41.200
969026155;Corponor AS;Aktiv;;AS;82.990
992356960;US PROPERTY AS;Aktiv;;AS;68.100
989559869;J.K Utleie AS;Aktiv;;AS;68.209
912040925;Nordisk Varme AS;Aktiv;5;AS;43.222
994744127;Sulitjelma Fjellandsby AS;Aktiv;20;AS;93.292
999342213;Front Dame og Herrefrisør AS;Aktiv;;AS;96.020
967253049;Narvik Bedriftshelsetjeneste SA;Aktiv;8;SA;86.904
987877480;Lydteamet AS;Aktiv;19;AS;90.020
981137299;Astafjord Slakteri AS;Aktiv;93;AS;10.202
948135264;Fjelldal Kantine AS;UnderAvvikling;;AS;56.290
999336965;Grom Eiendom AS;Aktiv;;AS;33.120
997095987;Førstehjelpspartner AS;Aktiv;5;AS;46.180
